Northing,Easting,Depth,Moment Magnitude
10127,15533,8335,-1.637
9246,15051,8089,-1.780
9244,15639,8028,-2.044
10070,15406,8289,-2.284
10261,15647,8357,-2.097
9863,15748,8157,-2.725
9612,15218,8195,-1.409
10381,15485,8523,-2.095
9741,15603,8173,0.403
9759,15605,8176,-0.086
9748,15610,8200,-0.023
9752,15612,8188,-0.123
9737,15609,8180,0.132
9765,15620,8190,-0.275
9738,15609,8195,0.108
9731,15611,8231,0.312
9782,15606,8195,0.239
9747,15604,8210,0.066
9715,15605,8220,0.046
9754,15606,8191,0.131
10324,15232,8444,-2.524
10244,15503,8362,-2.298
10267,15351,8340,-2.398
10526,15264,8398,-2.758
10545,15275,8403,-2.569
10253,15044,8347,-2.206
9879,15405,8354,-1.889
9453,15368,8069,0.460
9433,15358,8076,0.212
9447,15360,8089,0.242
9457,15360,8093,1.063
9441,15353,8084,0.201
9457,15361,8091,0.227
9442,15374,8099,0.364
9497,15446,8102,0.131
9439,15372,8083,0.103
9443,15391,8106,0.160
9451,15364,8093,0.313
9488,15349,8076,0.143
9464,15361,8089,0.111
9437,15350,8078,0.258
9439,15370,8095,-0.089
9459,15362,8088,-0.125
9441,15362,8082,-0.156
9444,15357,8078,-0.246
9467,15363,8083,-1.696
9434,15325,8078,-1.806
10547,15262,8391,-2.557
10528,15253,8407,-2.745
9968,15732,8198,-0.890
9795,14985,8185,-2.019
10533,15261,8417,-2.583
9787,14985,8179,-2.222
10725,15568,9027,-2.665
10523,15279,8436,-1.698
10529,15273,8435,-1.514
10577,15482,8462,-0.888
10533,15286,8442,-2.632
10547,15284,8455,-2.204
9736,15596,8197,0.312
9781,15587,8179,0.607
9784,15617,8220,0.165
9469,15414,8087,-2.588
10931,15156,8808,-2.180
10103,15815,8211,-0.679
9685,15884,8172,-1.876
9960,15731,8247,-1.530
9986,15735,8123,-1.669
9913,15797,8196,-1.993
9255,14976,8080,0.113
9205,14930,8077,0.040
9245,14941,8073,0.132
9243,14959,8105,0.338
9173,15004,8100,0.225
9236,14959,8105,0.062
9220,14990,8105,0.024
9206,14953,8102,0.311
9220,14975,8107,0.212
9204,14996,8144,0.424
9243,14968,8107,0.365
9274,14986,8093,0.140
9264,15001,8086,0.101
9432,15580,8164,-0.069
9437,15568,8154,-0.197
9429,15582,8117,0.265
9443,15573,8152,-0.293
9444,15581,8163,-0.186
9438,15565,8162,-0.369
9436,15575,8186,-0.133
9456,15596,8114,-0.162
9436,15582,8196,-0.305
10053,15811,8345,-1.704
10525,15258,8427,-2.743
9895,15077,8539,-1.887
